PlayerName,Pos,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Federico Valverde,MF,0.23,0.05,1.27,0.09,0.08,0.13,2.72,66.6,89.0,6.57,1.97,0.47,1.03,2.2,1.45,1.97,1.22,1.17,0.89
Antonio Rüdiger,CB,0.0,0.06,0.95,0.0,0.01,0.07,1.1,74.55,91.8,3.44,0.7,0.15,0.9,0.1,0.7,0.4,0.9,3.84,1.4
Kylian Mbappé,FW,0.52,0.52,4.32,0.1,0.2,0.72,3.8,33.91,82.6,4.58,4.74,2.4,10.0,12.55,0.42,0.0,0.16,0.0,0.05
Jude Bellingham,MF,0.36,0.34,2.04,0.36,0.15,0.49,3.48,57.9,86.3,7.38,2.88,1.32,3.72,5.22,1.92,1.02,1.32,0.84,0.84
Aurélien Tchouaméni,MF,0.0,0.06,0.74,0.0,0.03,0.1,1.42,74.34,93.0,6.81,0.87,0.31,0.87,0.43,1.67,1.67,0.74,1.86,2.17
Rodrygo,AM,0.42,0.2,2.44,0.35,0.16,0.36,5.45,51.32,85.9,5.03,4.96,2.09,6.07,12.01,0.63,0.35,0.91,0.28,0.35
Vinicius Júnior,AM,0.43,0.34,3.27,0.36,0.34,0.68,5.12,34.72,74.4,3.42,6.69,2.99,7.54,10.53,1.07,0.07,0.36,0.07,0.07
Lucas Vázquez,FB,0.08,0.09,0.63,0.24,0.29,0.39,2.91,68.35,87.2,4.09,1.5,0.94,2.44,8.58,2.44,0.63,0.63,1.26,0.16
Fran Garcia,FB,0.0,0.05,0.69,0.09,0.05,0.1,1.74,64.74,87.7,4.6,2.6,0.26,1.65,7.64,1.56,0.95,0.69,2.6,0.52
Éder Militão,CB,0.1,0.06,0.96,0.1,0.05,0.11,1.15,68.32,89.3,4.41,0.67,0.48,1.25,0.1,1.82,1.15,1.25,3.36,2.01
Ferland Mendy,FB,0.0,0.0,0.0,0.0,0.0,0.0,0.22,60.65,93.2,3.36,0.97,0.22,0.22,3.79,1.73,0.97,1.08,0.76,0.32
Dani Ceballos,MF,0.0,0.02,0.24,0.0,0.15,0.17,3.43,101.63,94.0,11.39,2.33,0.49,0.61,1.1,3.67,1.35,0.98,0.49,0.24
Brahim Díaz,AM,0.35,0.34,1.62,0.23,0.27,0.6,4.16,44.42,85.9,5.21,2.08,1.85,3.24,6.59,2.08,0.23,1.27,0.12,0.12
Luka Modrić,MF,0.1,0.11,1.13,0.31,0.4,0.51,5.97,93.7,86.9,8.54,2.98,0.41,1.13,3.19,1.03,1.13,0.72,0.82,0.21
Dani Carvajal,FB,0.15,0.19,0.44,0.0,0.03,0.22,1.77,68.42,86.2,3.99,1.92,0.3,1.77,7.09,1.77,1.48,1.18,2.81,1.03
Arda Güler,AM,0.15,0.27,2.81,0.44,0.25,0.52,5.18,55.36,86.1,5.63,2.52,1.63,3.85,6.96,2.37,0.44,1.48,0.89,0.89
Eduardo Camavinga,MF,0.0,0.02,0.52,0.35,0.03,0.05,1.56,68.37,88.6,5.88,1.73,0.87,1.21,2.08,3.29,1.38,1.9,1.38,0.87
Raúl Asencio,CB,0.0,0.0,0.15,0.15,0.06,0.08,0.76,63.57,91.8,1.38,0.46,0.61,0.61,0.61,1.38,0.76,0.0,4.89,1.99
Clément Lenglet,CB,0.09,0.12,0.53,0.09,0.07,0.19,0.89,62.64,87.4,4.35,0.89,0.09,0.8,0.0,0.89,1.24,1.07,4.44,1.95
